timestamp,value,classification,date
1517463000,30,Fear,01-02-2018
1517549400,15,Extreme Fear,02-02-2018
1517635800,40,Fear,03-02-2018
1517722200,24,Extreme Fear,04-02-2018
1517808600,11,Extreme Fear,05-02-2018
1517895000,8,Extreme Fear,06-02-2018
1517981400,36,Fear,07-02-2018
1518067800,30,Fear,08-02-2018
1518154200,44,Fear,09-02-2018
1518240600,54,Neutral,10-02-2018
1518327000,31,Fear,11-02-2018
1518413400,42,Fear,12-02-2018
1518499800,35,Fear,13-02-2018
1518586200,55,Greed,14-02-2018
1518672600,71,Greed,15-02-2018
1518759000,67,Greed,16-02-2018
1518845400,74,Greed,17-02-2018
1518931800,63,Greed,18-02-2018
1519018200,67,Greed,19-02-2018
1519104600,74,Greed,20-02-2018
1519191000,54,Neutral,21-02-2018
1519277400,44,Fear,22-02-2018
1519363800,39,Fear,23-02-2018
1519450200,31,Fear,24-02-2018
1519536600,33,Fear,25-02-2018
1519623000,37,Fear,26-02-2018
1519709400,44,Fear,27-02-2018
1519795800,41,Fear,28-02-2018
1519882200,38,Fear,01-03-2018
1519968600,47,Neutral,02-03-2018
1520055000,56,Greed,03-03-2018
1520141400,44,Fear,04-03-2018
1520227800,55,Greed,05-03-2018
1520314200,59,Greed,06-03-2018
1520400600,37,Fear,07-03-2018
1520487000,39,Fear,08-03-2018
1520573400,37,Fear,09-03-2018
1520659800,39,Fear,10-03-2018
1520746200,40,Fear,11-03-2018
1520832600,41,Fear,12-03-2018
1520919000,41,Fear,13-03-2018
1521005400,40,Fear,14-03-2018
1521091800,32,Fear,15-03-2018
1521178200,33,Fear,16-03-2018
1521264600,31,Fear,17-03-2018
1521351000,29,Fear,18-03-2018
1521437400,29,Fear,19-03-2018
1521523800,37,Fear,20-03-2018
1521610200,36,Fear,21-03-2018
1521696600,36,Fear,22-03-2018
1521783000,28,Fear,23-03-2018
1521869400,32,Fear,24-03-2018
1521955800,30,Fear,25-03-2018
1522042200,31,Fear,26-03-2018
1522128600,24,Extreme Fear,27-03-2018
1522215000,24,Extreme Fear,28-03-2018
1522301400,18,Extreme Fear,29-03-2018
1522387800,12,Extreme Fear,30-03-2018
1522474200,16,Extreme Fear,31-03-2018
1522560600,16,Extreme Fear,01-04-2018
1522647000,11,Extreme Fear,02-04-2018
1522733400,22,Extreme Fear,03-04-2018
1522819800,22,Extreme Fear,04-04-2018
1522906200,17,Extreme Fear,05-04-2018
1522992600,19,Extreme Fear,06-04-2018
1523079000,20,Extreme Fear,07-04-2018
1523165400,17,Extreme Fear,08-04-2018
1523251800,21,Extreme Fear,09-04-2018
1523338200,18,Extreme Fear,10-04-2018
1523424600,20,Extreme Fear,11-04-2018
1523511000,18,Extreme Fear,12-04-2018
1523597400,23,Extreme Fear,13-04-2018
1523943000,26,Fear,17-04-2018
1524029400,24,Extreme Fear,18-04-2018
1524115800,25,Fear,19-04-2018
1524202200,26,Fear,20-04-2018
1524288600,32,Fear,21-04-2018
1524375000,31,Fear,22-04-2018
1524461400,28,Fear,23-04-2018
1524547800,29,Fear,24-04-2018
