date,closedPnL_sum,closedPnL_mean,closedPnL_count,trade_value_sum,trade_value_mean,size_tokens_sum,is_profitable_mean,account_nunique,Classification,value,sentiment_score
2023-05-01,0.0,0.0,3,476.99280999999996,158.99760333333333,0.25129999999999997,0.0,1,Greed,63.0,1.0
2023-12-05,0.0,0.0,9,50005.82917,5556.20324111111,11.80901,0.0,1,Greed,75.0,1.0
2023-12-14,-205.43473700000007,-18.675885181818188,11,113203.34547,10291.213224545454,4092.28901,0.36363636363636365,1,Greed,72.0,1.0
2023-12-15,-24.632033999999997,-12.316016999999999,2,10609.956,5304.978,3558.0,0.0,1,Greed,70.0,1.0
2023-12-16,0.0,0.0,3,15348.76138,5116.253793333333,39897.0,0.0,1,Greed,67.0,1.0
2023-12-17,304.982785,21.78448464285714,14,116278.018081,8305.572720071428,86246.4486,0.5,1,Greed,73.0,1.0
2023-12-18,0.0,0.0,2,31164.1856,15582.0928,14.306,0.0,1,Greed,65.0,1.0
2023-12-19,1000.5386120000001,66.70257413333334,15,91602.41239,6106.827492666666,161546.30599999998,0.6666666666666666,1,Greed,73.0,1.0
2023-12-20,162.732282,9.040682333333333,18,141636.78283,7868.710157222223,174520.2,0.4444444444444444,1,Greed,74.0,1.0
2023-12-21,537.211402,10.963498000000001,49,125233.97907,2555.79549122449,1364.3,0.5306122448979592,1,Greed,70.0,1.0
2023-12-22,141.832675,14.1832675,10,88874.27747,8887.427747,2450.7491,0.2,1,Greed,74.0,1.0
2023-12-23,146.936704,11.302823384615383,13,78438.24836,6033.711412307692,141665.4,0.6153846153846154,1,Greed,70.0,1.0
2023-12-24,1008.619956,25.862050153846155,39,402954.92766,10332.177632307692,284682.19608,0.38461538461538464,1,Greed,71.0,1.0
2023-12-25,-245.081348,-81.69378266666666,3,59948.50502,19982.835006666664,26.3812,0.0,1,Greed,73.0,1.0
2023-12-27,-704.8892269999999,-25.174615249999995,28,171411.03608,6121.822717142857,455540.0,0.14285714285714285,1,Greed,73.0,1.0
2023-12-28,-970.730876,-42.20569026086957,23,100117.24515,4352.923702173913,263752.0,0.0,1,Greed,73.0,1.0
2023-12-29,508.92214299999995,10.178442859999999,50,569559.70558,11391.1941116,15843.60258,0.3,1,Greed,65.0,1.0
2023-12-30,354.998648,6.826897076923077,52,702550.20174,13510.580802692308,158399.89232,0.4423076923076923,1,Greed,68.0,1.0
2024-01-01,-129.53146,-7.196192222222223,18,264239.51261,14679.972922777777,4178.78664,0.05555555555555555,1,Greed,65.0,1.0
2024-01-02,783.979116,46.11641858823529,17,121348.72987200001,7138.160580705883,208218.35486,0.47058823529411764,1,Greed,71.0,1.0
2024-01-03,866.015507,12.925604582089552,67,394499.36837399995,5888.050274238805,64502.1274,0.417910447761194,1,Greed,70.0,1.0
2024-01-04,-67.60364,-13.520728,5,99792.53588000001,19958.507176000003,45.0958,0.0,1,Greed,68.0,1.0
2024-01-05,164.141565,2.486993409090909,66,1703942.66731,25817.313141060604,251.80766,0.19696969696969696,1,Greed,72.0,1.0
2024-01-06,135.58166400000002,6.16280290909091,22,298521.41284,13569.15512909091,7077.42664,0.45454545454545453,1,Greed,70.0,1.0
2024-01-07,-835.681235,-8.615270463917525,97,1048850.051251,10812.887126298969,165182.52107,0.09278350515463918,1,Greed,71.0,1.0
2024-01-08,-269.874439,-2.1083940546875,128,1522452.47911,11894.159993046875,108119.81523000001,0.25,1,Greed,71.0,1.0
2024-01-09,-826.349863,-11.804998042857143,70,870051.9215299999,12429.313164714285,129356.31168,0.2571428571428571,1,Greed,76.0,1.0
2024-01-10,-1517.091342,-7.860576901554404,193,2057479.485642,10660.51546964767,200302.43156,0.21243523316062177,1,Greed,73.0,1.0
2024-01-11,-164.08950099999998,-7.813785761904761,21,305314.08634,14538.766016190475,846.43972,0.23809523809523808,2,Greed,76.0,1.0
2024-01-12,-1925.519024,-275.0741462857143,7,200082.27383999998,28583.181977142853,1542.27934,0.0,1,Greed,71.0,1.0
2024-01-15,152.85358,10.918112857142857,14,50636.080449999994,3616.8628892857137,1.43192,0.6428571428571429,2,Neutral,52.0,
2024-01-16,-2299.171458,-255.4634953333333,9,116427.3314,12936.370155555554,2608.18062,0.3333333333333333,2,Greed,64.0,1.0
2024-01-17,813.2741110000001,15.344794547169812,53,800831.0522700001,15110.019854150945,4055.02266,0.20754716981132076,1,Greed,60.0,1.0
2024-01-18,68.93319,1.4985476086956522,46,424631.50679,9231.119712826086,93.72578,0.06521739130434782,1,Greed,63.0,1.0
2024-01-19,-385.419235,-8.029567395833334,48,428428.961,8925.603354166667,1754.7376,0.125,2,Neutral,51.0,
2024-01-20,-146.57487000000003,-1.3827817924528305,106,1070090.53039,10095.193682924528,256540.35666,0.14150943396226415,1,Neutral,52.0,
2024-01-21,266.58114600000005,24.234649636363642,11,103129.73894400001,9375.43081309091,44252.23533,0.2727272727272727,1,Greed,56.0,1.0
2024-01-22,1375.640959,16.18401128235294,85,337878.99275000003,3975.0469735294123,156977.46867,0.27058823529411763,2,Greed,55.0,1.0
2024-01-23,-369.2447299999998,-8.20543844444444,45,414518.917112,9211.531491377778,87110.23871,0.24444444444444444,1,Neutral,50.0,
2024-01-24,-2808.353815,-41.29932080882353,68,965084.596676,14192.420539352941,48160.40059,0.14705882352941177,1,Neutral,48.0,
2024-01-25,-3093.6293849999997,-515.6048975,6,66566.13906,11094.35651,756.8299999999999,0.0,1,Neutral,52.0,
2024-01-26,90.2,18.04,5,11773.211116,2354.6422232,95267.0,0.2,2,Neutral,49.0,
2024-01-28,-2478.06972,-225.27906545454545,11,18109.007999999998,1646.2734545454543,1068.0,0.0,1,Neutral,54.0,
